question,true,basic,multistep
Who handled the color commentary for Denver's radio stations?,Ed McCaffrey,Ed McCaffrey,Jim Szoke
Which station covered the game for North Carolina?,WBT,WBT,WBT - FM
Who handled the play-by-play for WBT?,Mick Mixon,Dave Logan,Mick Mixon
What two radio stations in Denver carried Super Bowl 50?,KOA (850 AM) and KRFX (103.5 FM),KOA ( 850 AM ) and KRFX ( 103. 5 FM ),KOA ( 850 AM ) and KRFX ( 103. 5 FM )
What radio station in South Carolina carried the Super Bowl 50 game?,WBT-FM (99.3 FM),WBT,WBT
What BBC radio station will carry the game in the United Kingdom?,BBC Radio 5,BBC Radio 5 Live,BBC Radio 5 Live
"Aside from BBC Radio 5, what radio station will broadcast the game?",5 Live Sports Extra,5 Live Sports Extra,5 Live Sports Extra
Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?,Darren Fletcher,Darren Fletcher,Darren Fletcher
What British TV network will carry the Super Bowl?,BBC,BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC,BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC
"British commentators include, Darren Fletcher, Rocky Boiman and who else?",Greg Brady,Greg Brady,Greg Brady
Who was the Most Valuable Player of Super Bowl II?,Bart Starr,Bart Starr,Bart Starr
What player won the MVP in Super Bowl V?,Chuck Howley,Chuck Howley,
Who was the Most Valuable Player of Super Bowl XLI?,Peyton Manning,Peyton Manning,Peyton Manning
In what year did Harvey Martin die?,2001,2001,2001
Who is the present quarterback of the Broncos?,Peyton Manning,Peyton Manning,Peyton Manning
How many of the prior Super Bowl MVPs appeared together at the pregame show?,39,39,39
What former MVP was shown in the locker room?,Peyton Manning,Peyton Manning,Peyton Manning
Which MVP died in 2001?,Harvey Martin,Harvey Martin,Harvey Martin
How many players have been awarded the Most Valuable Player distinction for the Super Bowl?,43,39,39
How many former MVP honorees were present for a pregame ceremony?,39,39,39
Who was the MVP of Super Bowl I and II?,Bart Starr,Bart Starr,Bart Starr
Who was the MVP of Super Bowl XLI?,Peyton Manning,Peyton Manning,Peyton Manning
Which MVP honoree died in 2001?,Harvey Martin,Harvey Martin,Harvey Martin
How many Grammys has Lady Gaga won?,Six,Six,Six
What did Lady Gaga sing?,the national anthem,national anthem,national anthem
What award has Marlee Matlin won?,Academy Award,Academy Award,Academy Award
What did Marlee Matlin translate?,the national anthem,American Sign Language,American Sign Language
Into what language did Marlee Matlin translate the national anthem?,American Sign Language,American Sign Language,American Sign Language
Who sang the national anthem?,Lady Gaga,Lady Gaga,Lady Gaga
What actress did the ASL translation for the game?,Marlee Matlin,Marlee Matlin,Marlee Matlin
Who did the National Anthem at Super Bowl 50?,Lady Gaga,Lady Gaga,Lady Gaga
What actor did sign language for the National Anthem at Superbowl 50?,Marlee Matlin,Marlee Matlin,Marlee Matlin
Who did the Super Bowl 50 National Anthem?,Lady Gaga,Lady Gaga,Lady Gaga
How many Grammy Award's does the text say Lady Gaga has won?,Six,Six,Six
Who did the sign language of the National Anthem at Super Bowl 50?,Marlee Matlin,Marlee Matlin,Marlee Matlin
On what date did the NFL announce that Coldplay would headline the halftime show?,December 3,December 3,December 3
What nationality is the band Coldplay?,British,British,British
At what Super Bowl did Beyoncé headline the halftime show?,Super Bowl XLVII,XLVII,Super Bowl XLVII
What was the name of the single that Coldplay and Beyoncé collaborated on?,"""Hymn for the Weekend""",Hymn for the Weekend,Hymn for the Week
What previous Super Bowl halftime show did Bruno Mars headline?,Super Bowl XLVIII,Super Bowl XLVIII,Super Bowl XLVIII
Who lead the halftime show of Super Bowl 50?,Coldplay.,Bruno Mars,Bruno Mars
What company confirmed that Beyoncé would participate in the Super Bowl 50 halftime show?,Pepsi,Pepsi,Pepsi
What song did Coldplay and Beyoncé collaborate on for the Super Bowl 50 halftime show?,"""Hymn for the Weekend""",Hymn for the Weekend,Hymn for the Week
Who headlined the Super Bowl 50 halftime show?,Coldplay.,Bruno Mars,Bruno Mars
"On January 7, 2016, it was confirmed that which start would join Coldplay for the halftime show?",Beyoncé,Beyoncé,Beyoncé
Which single did Beyoncé and Coldplay collaborate on?,Hymn for the Weekend,Hymn for the Weekend,Hymn for the Week
What other former halftime show performer joined Coldplay and Beyoncé for the Super Bowl 50 halftime show?,Bruno Mars,Bruno Mars,Mark Ronson
What team received the opening kickoff?,Denver,Denver,Denver
Who was at the receiving end of a 22-yard pass from Peyton Manning?,Andre Caldwell,Andre Caldwell,Andre Caldwell
Who lost 3 yards on a tackle by Shaq Thompson?,Ronnie Hillman,Ronnie Hillman,Ronnie Hillman
Who kicked a field goal for Denver?,Brandon McManus,Brandon McManus,Brandon McManus
Who ran the ball twice for 20 yards on this drive?,C. J. Anderson,C. J. Anderson,J. Anderson
How many yards was the pass on the first drive?,18,18,18
Who tackled Ronnie Hillman for a loss of yardage?,Shaq Thompson,Shaq Thompson,Shaq Thompson
Who kicked the field goal for Denver on the first drive of Super Bowl 50?,Brandon McManus,Brandon McManus,Brandon McManus
This was the first time that the Carolina team faced what in the post season?,a deficit.,a deficit,a deficit
Which team had the first kickoff?,Denver,Denver,Denver
Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Owen Daniels,Owen Daniels,Owen Daniels
Which Denver player took the ball to the Panthers 14 yard line?,C. J. Anderson,C. J. Anderson,J. Anderson
Who scored the first points for Denver?,Brandon McManus,Brandon McManus,Brandon McManus
What did Carolina face in the opening drive that they had not faced the entire postseason?,a deficit.,a deficit,a deficit
Which former referee served as an analyst for CBS?,Mike Carey,Mike Carey,Mike Carey
Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton,Cam Newton,Cam Newton
Who stripped the ball from Cam Newton while sacking him on this drive?,Von Miller,Von Miller,Malik Jackson
Which player recovered possession of the ball in the end zone?,Malik Jackson,Malik Jackson,Malik Jackson
What Super Bowl was the last where a fumble was returned for a touchdown?,Super Bowl XXVIII,Super Bowl XXVIII,Super Bowl XXVIII
Who received the pass that was ruled incomplete and confirmed after a challenge?,Jerricho Cotchery,Cam Newton,Mike Carey
What analyst did not agree with the ruling of the incomplete pass?,Mike Carey,Mike Carey,Mike Carey
"Who, according to the text, caused Cam Newton to lose the ball during a tackle?",Von Miller,Von Miller,Malik Jackson
Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,Malik Jackson,Malik Jackson
What year was the last time a fumble return touchdown like this occurred?,1993,1993,1993
Which retired ref disagreed with the outcome of the challenge of a incomplete pass?,Mike Carey,Mike Carey,Mike Carey
Who sacked Newton a few plays after the challenge?,Von Miller,Von Miller,Malik Jackson
Who recovered the fumble and ran the ball in for a touchdown?,Malik Jackson,Malik Jackson,Malik Jackson
When is the last time a fumble return touchdown happened in a Super Bowl?,Super Bowl XXVIII,1993 season,1993
Who ran for a Carolina touchdown to make the score 10–7?,Jonathan Stewart,Jonathan Stewart,Mario Addison
Who punted the ball for Carolina?,Brad Nortman,both teams,McManus
How many yards did Brad Nortman's punt travel?,28,28,28
How many yards did Jordan Norwood return a punt to set the Super Bowl record?,61,61,28
How many yards was the McManus field goal?,33,33,33
How many passing yards did Cam Newton get for his 4 of 4 passes?,51,51,51
Who got a touchdown making the score 10-7?,Jonathan Stewart,Jonathan Stewart,Mario Addison
How much time was left in the quarter when Stewart got the touchdown?,11:28,11 : 28,11 : 28
Who got a 61-yard return when players thought he called for a fair catch but did not?,Jordan Norwood,Mario Addison,Mario Addison
How many yards was the field goal that made the score 13-7 in Super Bowl 50?,33,33,33
Who scored the Panthers first touchdown? ,Jonathan Stewart,,Mario Addison
How did Denver score at the end of the drive?,field goal,10 – 7,73 - yard
Who tackled Mike Tolbert and caused a fumble?,Darian Stewart,Darian Stewart,Darian Stewart
What position does Danny Trevathan play?,linebacker,linebacker,linebacker
Which Panther tipped a Manning pass to himself and picked it off?,Kony Ealy,Kony Ealy,Kony Ealy
Who was sacked as the first half clock expired?,Newton,Newton,Newton
Who sacked Cam Newton at the end of the half?,DeMarcus Ware,DeMarcus Ware,DeMarcus
Who fumbled the ball when tackled by Darian Stewart?,Mike Tolbert,,Mike Tolbert
Who tipped Peyton's pass for an interception?,Kony Ealy,Kony Ealy,Kony Ealy
How many yards did the interception gain when the ball was tipped away from Manning?,19,19,19
Who tackled the Carolina Panthers' quarterback just before the end of the first half?,DeMarcus Ware,Darian Stewart,Kony Ealy
Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert,Mike Tolbert,Mike Tolbert
Who recovered Tolbert's fumble?,Danny Trevathan,Darian Stewart,Darian Stewart
"Who intercepted a Manning pass, giving the ball back to the Panthers?",Kony Ealy,Kony Ealy,Kony Ealy
How did the drive end for the Panthers?,punt,had to punt,had to punt
Who sacked Newton with 11 seconds left in the first half?,DeMarcus Ware,DeMarcus Ware,DeMarcus
Who was on the receiving end of a 45-yard pass from Cam Newton?,Ted Ginn Jr.,Ted Ginn Jr.,Ted Ginn Jr.
Who missed a field goal for the Panthers?,Graham Gano,Graham Gano,Emmanuel Sanders
How many yards was the missed field goal?,44,44,44
What kicker was successful on a 33-yard field goal?,McManus,McManus,McManus
Who picked off Cam Newton and subsequently fumbled the ball?,T. J. Ward,T. J. Ward,T. J. Ward
Who did Newton complete a 45 yard pass to on the opening drive of the second half?,Ted Ginn Jr.,Ted Ginn Jr.,Ted Ginn Jr.
What did Gano hit on his 44-yard field goal attempt?,the uprights,the uprights,the uprights
Which Broncos player intercepted Newton on the Panthers' next set of downs?,T. J. Ward.,,Ted Ginn Jr.
Who recovered Ward's fumble?,Trevathan,Trevathan,Trevathan
Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,Ted Ginn Jr.,Ted Ginn Jr.
What yard line did the Broncos stop the Panthers on in their first offensive drive of Super Bowl 50?,26-yard line,26,26
Who hit the goal post on a field goal attempt?,Graham Gano,Graham Gano,Graham Gano
Who caught two passes from Manning after the failed Carolina field goal attempt?,Emmanuel Sanders,Emmanuel Sanders,T. J. Ward
Who recovered a Manning fumble?,Ealy,Ealy,Ealy
Graham Gano kicked a field goal of how many yards?,39,39,39
Who caught a 16-yard pass on this drive?,Devin Funchess,Devin Funchess,Devin Funchess
Who had a 12-yard rush on this drive?,Stewart,Stewart,Stewart
"Early in the fourth quarter, The Broncos drove to what yard line of the Panthers?",41-yard line.,41,41
Who knocked the ball out of Manning's hands on the next play?,Ealy,Ealy,Ealy
Where was the ball recovered?,50-yard line.,Carolina,Carolina
What did the next three drives result in?,punts.,punts,punts
What is the last name of the player who bumped the ball away from Manning in the fourth quarter of Super Bowl 50?,Ealy,Ealy,Ealy
What yard line was the Broncos on when Manning lost the ball in the fourth quarter?,50-yard line.,41,41
How many yards was the field goal Gano made to make the score 16-10?,39-yard,39,39
How many of the following three fourth quarter drives after the field goal makng the score 16-10 ended in punts?,three,one score at 16 – 10,The next three
On what yard line did Carolina begin with 4:51 left in the game?,24,24,24
Who fumbled the ball on 3rd-and-9?,Newton,Miller,Miller
What Panther defender was called for holding on third down?,Josh Norman,Josh Norman,Josh Norman
What player punched the ball in from the 2?,Anderson,Miller,Miller
Who was the receiver on the successful 2-point conversion?,Bennie Fowler,Bennie Fowler,Bennie Fowler
Who stripped the ball from Newton on a 3rd and nine?,Miller,Miller,Miller
Who recovered the strip ball?,wards,Ward,Miller
Which player was criticized for not jumping into the pile to recover the ball?,Newton,Newton,Newton
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?",Josh Norman,Josh Norman,Josh Norman
How much time was left in the game when Denver took the score to 24-10?,3:08,3 : 08,3 : 08
What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?,4:51,4 : 51,4 : 51
What was the last name of the player who took the ball away from Newton late in the fourth quarter?,Miller,Miller,Miller
What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?,wards,Ward,Ward
How many plays was Denver kept out of the end zone after getting the ball from Newton?,three,three,three
What is the last name of the player who scored a 2-yard touchdown in the fourth quarter?,Anderson,Anderson,Anderson
How many solo sacks did Von Miller have in the game?,five,five,five
How many touchdowns did Manning throw in the game?,zero,zero,zero
How many field goals did McManus kick in the game?,four,four,four
What player played in the Super Bowl after breaking his arm two weeks before?,Thomas Davis,Thomas Davis,Thomas Davis
How many picks did Cam Newton throw?,one,,9
How many interceptions did Manning have at the end of the game?,one,13,one
How many touchdowns did Manning have at the end of the game?,zero,zero,zero
Who was the game's leading rusher?,Anderson,Anderson,Anderson
Who was the game's top receiver?,Sanders,Sanders,Sanders
Which player played even though he broke his arm two weeks prior to the Super Bowl?,Thomas Davis,Thomas Davis,Thomas Davis
What is the last name of the player who was Manning's top receiver for Super Bowl 50?,Sanders,Sanders,Sanders
What is th elast name of the player who was the Super Bowl 50 winner's leading rusher?,Anderson,Anderson,Anderson
How many of the four field goal attempts did McManus succeed at during SUper Bowl 50?,all four,11,11
How many intercpetions did Newton have in Super Bowl 50?,one,18,four
How many total tackles did Charles Johnson have in Super Bowl 50?,four,four,four
How many total yards did Denver gain?,194,315 to 194,315 to 194
How many first downs did Denver have?,11,21 to 11,21 to 11
What team had 244 yards in Super Bowl XXXV?,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Jordan Norwood,Jordan Norwood,Norwood
Who is the only quarterback to win a Super Bowl with two teams?,Manning,Manning,Gary Kubiak
How many yards did Denver have for Super Bowl 50?,194,315 to 194,194
How many first downs did Denver have for Super Bowl 50?,11,21 to 11,21 to 11
Who did the Broncos tie with the most sacks in a Super Bowl?,Chicago Bears,Chicago Bears,Chicago Bears
Which team did Gary Kubiak play for when he was in the Super Bowl?,Broncos,Baltimore Ravens,Baltimore Ravens
How many first downs did the Panthers have in Super Bowl 50?,21,21 to 11,
How many first downs did the Broncos have in Super Bowl 50?,11,21 to 11,21 to 11
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The Broncos,Baltimore Ravens,Baltimore Ravens
What team di the Broncos tie a Super Bowl record for in sacks?,Chicago Bears,Chicago Bears,Chicago Bears
How many teams has Manning won the Super Bowl with?,two,seven,all of them had lost.
What was Maria Curie the first female recipient of?,Nobel Prize,Nobel Prize,Nobel Prize
What year was Casimir Pulaski born in Warsaw?,1745,1745,1745
Who was one of the most famous people born in Warsaw?,Maria Skłodowska-Curie,Maria Skłodowska - Curie,Maria Skłodowska - Curie
Who was Frédéric Chopin?,Famous musicians,Władysław Szpilman,Władysław Szpilman
How old was Chopin when he moved to Warsaw with his family?,seven months old,seven months old,seven
Over how many species of trees can be found in the Saxon Garden?,100,100,100
What is a popular strolling destination for the Varsovians?,Krasiński Palace Garden,Krasiński Palace Garden,en
What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden,The Saxon Garden
Which end of the Saxon Garden is the Tom of the Unknown Soldier located at?,east end,east,east
What park covers an area of 76 ha.?,Łazienki,Łazienki Park,Łazienki Park
How far from Warsaw does the Vistula river's environment change noticeably? ,15 kilometres,15 kilometres,15 kilometres
What animals does the Vistula river's ecosystem include?,"otter, beaver and hundreds of bird species","otter, beaver and hundreds of bird species","otter, beaver and hundreds of bird species"
How many natural reserves are in Warsaw?,13,13,13
How many lakes are there in Warsaw?,several,several,several
Why are the small lakes in the parks emptied before winter?,to clean them,to clean them of plants and sediments,to clean
What was Warsaw the most diverse of in Poland?,city,foreign - born inhabitants,ethnic
How many of Warsaw's inhabitants spoke Polish in 1933?,"833,500","833, 500","833, 500"
What percentage of the population of Warsaw was Jewish in 1897?,around 34%,34 %,34 %
What was there a significant minority of in Warsaw?,Jewish,Jewish,Jewish
What is most of Warsaw's modern growth based on?,migration and urbanisation,internal migration and urbanisation,internal migration and urbanisation
What is the second academic school of technology in Poland?,Warsaw University of Technology,Warsaw University of Technology,Warsaw University of Technology
How many professors does the Warsaw University of Technology employ?,"2,000","2, 000","2, 000"
What is the largest medical school in Poland?,Medical University of Warsaw,Medical University of Warsaw,Warsaw School of Economics
What year was the University of Warsaw established?,1816,1816,1816
What is one of the largest music schools in Europe?,Fryderyk Chopin University of Music,Fryderyk Chopin University of Music,Warsaw School of Economics
When was the University Library founded?,1816,1816,1816
How many items is the University Library home to?,over two million,over two million,over two million
What profession does Zbigniew Badowski have?,architects,architects,architects
Who designed the garden for the University Library?,Irena Bajerska,Marek Budzyński and Zbigniew Badowski,Irena Bajerska
How much area does the University Library garden cover?,"10,000 m2","10, 000 m2 ( 107, 639. 10 sq ft )","10, 000 m2"
What suffered considerably for Warsaw when it had an Eastern Bloc economy?,infrastructure,infrastructure,infrastructure
"What was a major success, especially in rebuilding Warsaw?",Three-Year Plan,Three - Year Plan,Poland
Why has Warsaw seen many improvements over the past decade?,solid economic growth,solid economic growth,solid economic growth
Warsaw's sidewalks and sanitation facilities are some examples of things which have what?,improved markedly,improved markedly,improved
Where are some of the best medical facilities in East-Central Europe located?,Warsaw,Warsaw,Warsaw
What is the highest reference hospital in all of Poland?,Children's Memorial Health Institute,Children ' s Memorial Health Institute,Children ' s Memorial Health Institute
What is one of the largest and most modern oncological institutions in Europe?,Maria Skłodowska-Curie Institute of Oncology,Maria Skłodowska - Curie Institute of Oncology,Maria Skłodowska - Curie Institute of Oncology
How many beds does the Maria Sklodowska-Curie Institute of Oncology have?,700,700,700
What has the infrastructure done a lot of over the past years?,developed,developed,devel
What type of venue is the Teatr Wielki?,musical,musical venues,musical venues
What does Warsaw host many of?,events and festivals,events and festivals,events and festivals
Where is the Congress Hall located?,in the Palace of Culture and Science,Palace of Culture and Science,"Palace of Culture and Science, Warsaw"
Where is the Jazz Jamboree hosted?,Warsaw,Warsaw,Warsaw
Warsaw Summer Jazz Days is one of the many what hosted by Warsaw?,festivals,International Contemporary Music Festival,musical venues
What is the Saxon Garden in Polish?,Ogród Saski,Ogród Saski,Ogród Saski
Where was the Summer Theatre located?,Saxon Garden,Ogród Saski,Ogród Saski
How long was the Summer Theatre in operation?,1870 to 1939,from 1870 to 1939,from 1870 to 1939
What was Warsaw's first literary cabaret?,Momus,Momus,Momus
"What theatre was the best example of ""Polish monumental theatre""?",Wojciech Bogusławski Theatre,Wojciech Bogusławski Theatre,Wojciech Bogusławski Theatre
What is the polish word for wreaths?,Wianki,Wianki,Wianki
How man people gather along the banks of the Vistula for the Wianki festival?,thousands,thousands,thousands
When is the Wianki festival held?,Midsummer’s Night,Midsummer ’ s Night,Midsummer ’ s Night
What will maidens be able to predict by floating their wreaths down the Vistula?,when they would be married,"when they would be married, and to whom",fern flower
What type of flower is sought on Midsummer's Eve?,the fern,fern,fern
What does the world's first Museum of Posters have one of the largest collections of in the world?,art posters,art posters,art posters
How many museums are in Warsaw?,60,60,60
Warsaw's National Museum is one of the most what?,prestigious,prestigious,prestigious
What does the National Museum boast having from Adolf Hitler's private collection?,some paintings,paintings,paintings
What does the Museum of the Polish Army portray the history of?,arms,arms,arms
Where can a tribute to the fall of Warsaw be found?,Warsaw Uprising Museum,Warsaw Uprising Museum,Warsaw Uprising Museum
What museum preserves the memory of the crime?,Katyń,Katyń Museum,Katyń Museum
What type of theatre is the Warsaw Fotoplastikon?,stereoscopic,stereoscopic,stereoscopic
Where in Warsaw are patriotic and political objects connected with Poland's struggles for Independence found?,Museum of Independence,The Museum of Independence,The Museum of Independence
How many rooms does the Warsaw Historical Museum have?,60,60,60
What castle currently houses the Centre for Contemporary Art?,Royal Ujazdów Castle,Royal Ujazdów Castle,Royal Ujazdów Castle
How many projects does the Centre currently realize a year?,about 500,500,500
What is the oldest exhibition site in Warsaw?,Zachęta National Gallery of Art,Zachęta National Gallery of Art,Zachęta National Gallery of Art
What does the Zachęta National Gallery of Art organize exhibitions of art from?,Polish and international artists,Polish and international artists,Polis
When is the Warsaw Gallery Weekend held?,last weekend of September,last weekend of September,September
Who won the Ekstraklasa Championship in 2000?,Polonia Warsaw,Polonia Warsaw,Polonia Warsaw
When did Polonia Warsaw win the country's championship prior to 2000?,1946,1946,1946
How many times has Polonia won the cup?,twice,twice,2013
Where is Polonia's home venue located?,at Konwiktorska Street,Konwiktorska Street,Konwiktorska Street
Why was Polonia relegated from the country's top flight in 2013?,disastrous financial situation,their disastrous financial situation,their disastrous f
"What is polish for ""mermaid""?",syrenka,syrenka,syrenka
What is Warsaw's symbol?,The mermaid,The mermaid,The mermaid
How long has the imagery of the mermaid been used by Warsaw?,since at least the mid-14th century,since at least the mid - 14th century,mid - 14th century
When is the oldest armed seal of Warsaw from?,1390,1390,1390
What does the sea monster with a female upper body hold in its claws?,a sword,a sword,a sword
What did Artur Oppman give to the world?,legend,The best - known legend,captured the mermaid
Where did two of Triton's daughters set out on a journey through?,depths of the oceans and seas,the depths of the oceans and seas,the depths of the oceans and seas
Where did one of Triton's daughters decide she wanted to hang out and stay?,coast of Denmark,the coast of Denmark,on the coast of Denmark
A mermaid stopped to rest on the sandy beach by what village?,Warszowa,Warszowa,Warszowa
What did a greedy merchant do to the mermaid?,captured,,captured the mermaid
Where was the famous artist Tamara de Lempicka born?,Warsaw,Warsaw,Warsaw
When did Tamara marry a lawyer?,1916,1916,1916
What did Lempicka represent better than anyone else?,the Art Deco style,Art Deco style,Art Deco style
What profession was Nathan Alterman?,poet,poet,poet
Who loved Warsaw so much that he kept putting it in his novels?,Isaac Bashevis Singer,Isaac Bashevis Singer,Isaac Bashevis Singer
Who ranked Warsaw as the 32nd most liveable city in the world?,Economist Intelligence Unit,Economist Intelligence Unit,Economist Intelligence Unit
When was Warsaw ranked as the 32nd most liveable city in the world?,2012,2012,2012
What is Warsaw's economy characterized by?,wide variety of industries,"FMCG manufacturing, metal processing, steel and electronic manufacturing and food processing",FMCG
What exchange in Warsaw is one of the most important for Central and Eastern Europe?,Stock,Warsaw Stock Exchange,Warsaw Stock Exchange
What is the name of the European Union agency for external border security?,Frontex,Frontex,Frontex
When is the first reference in history to Warsaw?,1313,1313,1313
What city served as Poland's capital in 1313?,Kraków,Kraków,Kraków
When did Warsaw become the capital of the Kingdom of Poland?,1596,1596,1918
Who moved his court from Kraków to Warsaw in 1596?,King Sigismund III Vasa,King Sigismund III Vasa,King Sigismund III Vasa
"Why did Warsaw gain the title of the ""Phoenix City""?","survived many wars, conflicts and invasions","it has survived many wars, conflicts and invasions throughout its long history","because it has survived many wars, conflicts and invasions throughout its long history"
What archdiocese is Warsaw the seat of?,Roman Catholic,Roman Catholic,Roman Catholic
What is another notable university in Warsaw after the University of Warsaw?,Polish Academy of Sciences,Polish Academy of Sciences,Polish Academy of Sciences and the Univer
What was Warsaw's Old Town listed as in 1980?,a UNESCO World Heritage Site,UNESCO World Heritage Site,UNESCO World Heritage Site
King Sigimund's Column is an example of what kind of attraction in Warsaw?,architectural,architectural,architectural
What is a quarter of Warsaw filled with?,luxurious parks and royal gardens,luxurious parks and royal gardens,luxurious parks and royal gardens
What is Warsaw's name in the Polish language?,Warszawa,Warszawa,Warszawa
What does Warszawa mean in Polish?,belonging to Warsz,belonging to Warsz,belonging to Warsz
Who was Warsz?,12th/13th-century nobleman,a 12th / 13th - century nobleman,a 12th / 13th - century nobleman
What did Warsz own?,a village,a village,a village
What is the full official city name of Warsaw?,miasto stołeczne Warszawa,miasto stołeczne Warszawa,miasto stołeczne Warszawa
"What city, raided by clans and dukes, preceded the founding of Warszowa?",Jazdów,Jazdów,Jazdów
Who was Boleslaw II of Masovia?,The Prince of Płock,The Prince of Płock,The Prince of Płock
When was the settlement which would become Warsaw established?,1300,1300,1300
In what year did Warszowa become the official capital of the Masovian Duchy?,1413,1413,1413
When was the Masovian Duchy reincorporated into the Polish Crown?,1526,1526,1526
Who did Warsaw serve as the seat for in 1529?,General Sejm,General Sejm,General Sejm
When did the General Sejm make Warsaw it's permanent seat?,1569,1569,1569
What did the Warsaw Confederation formally establish in 1573?,religious freedom,religious freedom in the Polish – Lithuanian Commonwealth,religious freedom
Why did Warsaw become the capital of the Commonwealth?,Due to its central location,central location between the Commonwealth ' s capitals of Kraków and Vilnius,Due to its central location
What year did King Sigismund III Vasa move his court to Warsaw?,1596,1596,1596
How long was Warsaw the capital of the Polish-Lithuanian Commonwealth?,until 1796,until 1796,until 1796
What kingdom annexed Warsaw in 1796?,Prussia,Kingdom of Prussia,Kingdom of Prussia
Whose army liberated Warsaw in 1806?,Napoleon's,Napoleon ' s,n ' s
When did Warsaw become the center of the Congress Poland?,1815,1815,1815
When was the Royal University of Warsaw established?,1816,1816,1816
How long was Warsaw occupied by Germany?,from 4 August 1915 until November 1918,4 August 1915 until November 1918,4 August 1915 until November 1918
What did Article 12 of the Allied Armistice terms require Germany to withdraw from?,areas controlled by Russia in 1914,areas controlled by Russia,areas controlled by Russia
Who set up what became the Second Polish Republic?,underground leader Piłsudski,Piłsudski,Piłsudski
When was the Polish-Bolshevik war fought?,1920,1920,1920
What army did Warsaw successfully defend itself against?,the Red Army,Red Army,Red Army
When did Germany invade Poland and in doing so start World War II?,September 1939,1 September 1939,1 September 1939
Who was Warsaw under the administration of when it came under the rule of the General Goverment?,a German Nazi colonial administration,German Nazi,German Nazi
How much of Warsaw's population was Jewish?,some 30% of the city,"several hundred thousand, some 30 %","several hundred thousand, some 30 %"
When did Hitler order the annihilation of the Warsaw Ghetto?,April 1943,19 April 1943,19 April
How long were the fighters of the Warsaw Ghetto Uprising able to hold out?,almost a month,almost a month,almost a month
What army was pushing deep into Polish territory to pursue the Germans in 1944?,the Red Army,Red Army,the Red Army
Why did the exiled Polish government in London order the underground Home Army to seize control of Warsaw prior to the arrival of the Red Army?,Stalin was hostile to the idea of an independent Poland,Knowing that Stalin was hostile to the idea of an independent Poland,Stalin was hostile to the idea of an independent Poland
When did the Warsaw Uprising begin?,August 1944,1 August 1944,July 1944
How many days did the Warsaw Uprising last?,63 days,63,63
What is the estimated death toll for Polish civilians? ,"between 150,000 and 200,000","between 150, 000 and 200, 000","between 150, 000 and 200, 000"
What campaign did the Communist regime initiate after WWII?,"""Bricks for Warsaw""",Bricks for Warsaw,Bricks for Warsaw
What type of housing was erected in Warsaw as part of the Bricks for Warsaw process?,prefabricated,prefabricated,prefabricated
What were the structures built by the Soviets typical of?,an Eastern Bloc city,Eastern Bloc city,Eastern Bloc city
What building was a gift from the Soviet Union?,Palace of Culture and Science,Palace of Culture and Science,Palace of Culture and Science
What list was Warsaw's Old Town inscribed onto in 1980?,UNESCO's World Heritage list,World Heritage list,World Heritage list
What pope as a native of Poland?,John Paul II,John Paul II,John Paul
What did John Paul II's visits in 1979 and 1983 encourage?,growing anti-communist fervor,anti - communist fervor,anti - communist fervor
How long had John Paul II been the pope in 1979?,less than a year,less than a year,less than a year
Where did John Paul II celebrate Mass in Warsaw?,Victory Square,Victory Square,Victory Square
What did the Polish citizens understand the subtext of John Paul II's words to be?,incentive for the democratic changes,the incentive for the democratic changes,the incentive for the democratic changes
How many kilometers is Warsaw from the Carpathian Mountains?,about 300,300,300
How many miles east of Berlin is Warsaw?,325,325,325
What river does Warsaw straddle?,Vistula River,Vistula River,stula River
How high is the highest point in Warsaw?,452.8 ft,115. 7 metres,75. 6 metres
Where is the lowest point of Warsaw located?,at the right bank of the Vistula,right bank of the Vistula,Szczęśliwice hill
How many geomorphologic formations is Warsaw on?,two,two,two
What formation has an asymmetrical pattern of different terraces?,Vistula Valley,Vistula Valley,Vistula Valley
Which plateau is the left part of Warsaw on?,moraine,moraine plateau,moraine plateau
What is the axis of Warsaw which divides it into two parts?,Vistula River,The Vistula River,The Vistula River
What is the edge of the moraine plateau called?,Warsaw Escarpment,Warsaw Escarpment,Warsaw Escarpment
What plateau has groups of clay pits?,moraine,plain moraine,plain moraine
What does the highest level of the Vistula plateau contain?,former flooded terraces,former flooded terraces,peat swamps or small ponds
What does the currently flooded terrace still have visible?,valleys,valleys and ground depressions,valleys and ground depressions
